.9236,0.0037
0.2134,-0.9712,-0.0410
0.2141,-0.9731,-0.0371
0.2124,-0.9761,-0.0374
0.2112,-0.9797,-0.0398
0.2122,-0.9802,-0.0420
0.2107,-0.9790,-0.0425
0.2041,-0.9761,-0.0430
0.1973,-0.9739,-0.0452
0.1931,-0.9741,-0.0461
0.1929,-0.9751,-0.0488
0.1941,-0.9749,-0.0510
0.1938,-0.9734,-0.0493
0.1931,-0.9724,-0.0474
0.1921,-0.9712,-0.0469
0.1868,-0.9734,-0.0469
0.1809,-0.9717,-0.0474
0.1770,-0.9675,-0.0498
0.1750,-0.9670,-0.0515
0.1758,-0.9666,-0.0547
0.1802,-0.9653,-0.0581
0.1831,-0.9658,-0.0608
0.1848,-0.9680,-0.0593
0.1880,-0.9705,-0.0562
0.1885,-0.9727,-0.0562
0.1890,-0.9719,-0.0608
0.1897,-0.9712,-0.0645
0.1897,-0.9734,-0.0645
0.1885,-0.9768,-0.0623
0.1875,-0.9817,-0.0613
0.1853,-0.9832,-0.0696
0.1772,-0.9805,-0.0754
0.1682,-0.9792,-0.0757
0.1638,-0.9763,-0.0735
0.1582,-0.9736,-0.0701
0.1548,-0.9771,-0.0715
0.1523,-0.9824,-0.0732
0.1428,-0.9883,-0.0713
0.1345,-0.9919,-0.0676
0.1323,-0.9885,-0.0669
0.1304,-0.9834,-0.0713
0.1252,-0.9790,-0.0747
0.1204,-0.9768,-0.0791
0.1184,-0.9771,-0.0789
0.1191,-0.9788,-0.0750
0.1243,-0.9827,-0.0769
0.1357,-0.9841,-0.0757
0.1416,-0.9858,-0.0723
0.1484,-0.9836,-0.0701
0.1560,-0.9773,-0.0706
0.1604,-0.9749,-0.0737
0.1643,-0.9736,-0.0745
0.1672,-0.9734,-0.0740
0.1682,-0.9751,-0.0747
0.1704,-0.9768,-0.0752
0.1704,-0.9795,-0.0728
0.1689,-0.9814,-0.0723
0.1697,-0.9783,-0.0742
0.1672,-0.9746,-0.0747
0.1641,-0.9749,-0.0735
0.1646,-0.9741,-0.0728
0.1655,-0.9731,-0.0737
0.1638,-0.9751,-0.0754
0.1611,-0.9758,-0.0789
0.1533,-0.9766,-0.0767
0.1462,-0.9788,-0.0718
0.1448,-0.9810,-0.0732
